OBJECTID,distance_to_store (meters),distance_to_store_km
66388962,10538.373594024855,10.538373594024856
66388964,9830.210370792933,9.830210370792933
66388986,549.3680370051679,0.5493680370051679
66388998,1324.6336595147905,1.3246336595147905
66389034,1722.2576599307204,1.7222576599307204
66389036,1231.3692704520772,1.2313692704520771
66389051,23552.670651903285,23.552670651903284
66389053,13655.78464489279,13.65578464489279
66389082,12592.708072495396,12.592708072495396
66389091,6830.821004124423,6.830821004124423
66389101,11528.572775944662,11.528572775944662
66389106,9034.153865193028,9.034153865193028
66389107,24267.808430162593,24.267808430162592
66389113,10390.787130190278,10.390787130190278
66389125,46620.5960972329,46.6205960972329
66389128,2240.8675438147816,2.2408675438147814
66389130,12050.53641018521,12.05053641018521
66389132,548.673799040346,0.548673799040346
66389147,1579.3157492345092,1.5793157492345091
66389163,99675.42122037815,99.67542122037815
66389165,5956.29430517464,5.95629430517464
66389180,1343.453500964126,1.343453500964126
66389186,14360.283758022028,14.360283758022028
66389187,720.0847599466795,0.7200847599466794
66389213,540.7851684836013,0.5407851684836013
66389214,455.6402832074213,0.4556402832074213
66389217,1459.2191062259308,1.4592191062259308
66389220,181.54945948321782,0.18154945948321782
66389246,9613.386952632427,9.613386952632426
66389247,12014.561246110801,12.014561246110802
66389253,704.0404095017976,0.7040404095017976
66389257,11329.745611844748,11.329745611844748
66389262,78070.57361520683,78.07057361520683
66389263,7376.038570433543,7.376038570433543
66389273,9591.05810078876,9.591058100788759
66389285,25408.120956301133,25.408120956301133
66389286,28239.991859843834,28.239991859843833
66389336,47148.43394784861,47.14843394784861
66389345,4054.159433422932,4.0541594334229325
66389365,1915.8651944198202,1.9158651944198202
66389371,45668.403570939736,45.66840357093974
66389395,31176.54076674626,31.17654076674626
66389406,12660.0906495237,12.6600906495237
66389413,3815.4966604494966,3.8154966604494964
66389416,75777.44414100629,75.77744414100628
66389421,519.328094788328,0.519328094788328
66389425,37093.32570067151,37.09332570067151
66389447,10412.240159154391,10.412240159154392
66389452,1330.0096752438737,1.3300096752438737
66389453,9295.315618730596,9.295315618730596
66389473,14048.0533663991,14.048053366399099
66389522,9007.15429497559,9.007154294975589
66389529,623.3802296557279,0.6233802296557279
66389534,11719.761907691845,11.719761907691845
66389580,14150.822534101586,14.150822534101586
66389617,9736.776064877035,9.736776064877034
66389628,5936.85528416543,5.93685528416543
66389634,43370.29252548037,43.37029252548037
66389649,2451.603680614124,2.451603680614124
66389650,1481.8408259279433,1.4818408259279434
66389651,540.7851684836013,0.5407851684836013
66389661,1467.1413364205955,1.4671413364205954
66389664,2440.817812644314,2.440817812644314
66389679,24343.99899514674,24.34399899514674
66389682,4771.068098077789,4.771068098077789
66389685,1901.0390159665342,1.9010390159665342
66389689,993.628590752899,0.993628590752899
66389704,80146.84171144095,80.14684171144096
66389709,356.20219272038355,0.35620219272038356
66389712,71694.187581912,71.694187581912
66389719,11863.18973532042,11.86318973532042
66389724,3016.7047046797097,3.0167047046797095
66389729,11179.650918732796,11.179650918732795
66389738,1256.973780647391,1.256973780647391
66389759,4121.07307344633,4.121073073446331
66389765,321.94352039893414,0.32194352039893415
66389768,14201.286321739679,14.201286321739678
66389774,8435.450179295984,8.435450179295984
66389786,14612.537845098957,14.612537845098958
66389795,13973.57095153123,13.97357095153123
66389799,476.4369961969072,0.4764369961969072
66389807,2315.3174636354224,2.3153174636354223
66389827,2309.866461389868,2.309866461389868
66389831,10475.377306013645,10.475377306013645
66389840,405.056453188468,0.405056453188468
66389846,8807.648544539978,8.807648544539978
66389847,149.90579410520726,0.14990579410520727
66389861,7263.31126894238,7.263311268942379
66389863,1983.6524757526468,1.9836524757526468
66389880,11770.614588739709,11.77061458873971
66389900,1093.740222475517,1.0937402224755168
66389909,11595.177196304816,11.595177196304816
