OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,if_pandemic
66389217,,573400,0.0,0.0,0.0,1.0,0.0,South,2017/2018,MOELLER ST,SHANNON ST,,Non-Injury Crash,No,2018,0.0,South,0.0,0,0.0,Flat,0.0,,0.0,,0.0,Dark,2139100,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,On,0.0,0.0,,47,Wellington City,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Fine,Null,0
66389220,,573000,0.0,,0.0,2.0,,North,2018/2019,SH 1N,ABEL SMITH ST,,Non-Injury Crash,Yes,2018,,North,,0,,Hill Road,,,,,,Bright sun,2130200,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,1-way,Sealed,,0.0,0,,50.0,,Null,0.0,0.0,,47,Wellington City,Unknown,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389253,,573525,0.0,0.0,0.0,1.0,1.0,North,2018/2019,SH 1N,TAWA OFF SBD,,Minor Crash,Yes,2018,0.0,South,0.0,0,0.0,Flat,0.0,,0.0,,0.0,Overcast,2053830,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Wellington Region,Nil,1-way,Sealed,0.0,0.0,0,0.0,100.0,0.0,Null,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Light rain,Null,0
66389345,,573511,0.0,,0.0,0.0,,Null,2018/2019,MIDDLETON ROAD,WESTCHESTER DRIVE,,Minor Crash,No,2018,,East,,0,,Flat,,,,,,Twilight,2086203,1,0.0,1.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,On,0.0,0.0,,47,Wellington City,Give way,,,,,0.0,0.0,Urban,1.0,,,Fine,Null,0
66389365,,576901,0.0,,0.0,1.0,,North,2018/2019,MAHORA ST,COUTTS ST,,Minor Crash,No,2018,,West,,0,,Flat,,Christmas New Year,,,,Bright sun,2178200,1,0.0,0.0,2.0,,,0.0,,,1.0,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Null,0.0,0.0,,47,Wellington City,Nil,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389413,,573902,0.0,0.0,0.0,2.0,0.0,North,2017/2018,KENTWOOD DRIVE,NORTHWOOD CLOSE,,Non-Injury Crash,No,2018,0.0,North,0.0,0,0.0,Flat,0.0,,0.0,,0.0,Dark,2086316,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,Null,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389421,,573101,0.0,0.0,1.0,1.0,0.0,West,2018/2019,COURTENAY PLACE,TORY ST,,Non-Injury Crash,No,2018,0.0,West,0.0,0,0.0,Flat,0.0,,0.0,,0.0,Dark,2135900,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,1-way,Sealed,0.0,0.0,0,0.0,30.0,0.0,On,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389452,,573000,0.0,,0.0,1.0,,Null,2018/2019,WARING TAYLOR STREET,FEATHERSTON STREET,,Minor Crash,No,2019,,West,,0,,Flat,,,,,,Overcast,2125200,1,0.0,0.0,1.0,,,0.0,,,1.0,,,Wellington Region,Nil,1-way,Sealed,,0.0,0,,50.0,,Off,0.0,1.0,,47,Wellington City,Traffic Signals,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389529,,573700,0.0,,0.0,2.0,,Null,2017/2018,BRODERICK ROAD,PHILLIP ST,,Non-Injury Crash,No,2018,,East,,0,,Flat,,,,,,Overcast,2081800,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Null,0.0,0.0,,47,Wellington City,Give way,,,,,0.0,0.0,Urban,0.0,,,Light rain,Null,0
66389649,,574303,0.0,,0.0,0.0,,South,2018/2019,LOWER TYERS RD,TYERS ROAD,,Non-Injury Crash,No,2019,,East,,0,,Flat,,,,,,Bright sun,2088705,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Off,0.0,0.0,,47,Wellington City,Unknown,,,,,1.0,0.0,Urban,1.0,,,Fine,Null,0
