OBJECTID,alcohol_store,distance_to_store (meters),distance_to_store_km
66388986,Glengarry Wines,549.3680370051679,0.5493680370051679
66388998,The Bottle-O,1324.6336595147905,1.3246336595147905
66389034,Liquorland,1722.2576599307204,1.7222576599307204
66389036,Regional Wines and Spirits,1231.3692704520772,1.2313692704520771
66389128,Discount Liquor Centre,2240.8675438147816,2.2408675438147814
66389132,Liquorland,548.673799040346,0.548673799040346
66389147,Thirsty Liquor,1579.3157492345092,1.5793157492345091
66389180,JK Liquor,1343.453500964126,1.343453500964126
66389187,Discount Liquor Centre,720.0847599466795,0.7200847599466794
66389213,Discount Liquor Centre,540.7851684836013,0.5407851684836013
66389214,Regional Wines and Spirits,455.6402832074213,0.4556402832074213
66389217,Regional Wines and Spirits,1459.2191062259308,1.4592191062259308
66389220,Liquorland,181.54945948321782,0.18154945948321782
66389253,The Bottle-O,704.0404095017976,0.7040404095017976
66389345,JK Liquor,4054.159433422932,4.0541594334229325
66389365,nan,1915.8651944198202,1.9158651944198202
66389413,JK Liquor,3815.4966604494966,3.8154966604494964
66389421,Cuba Liquor World,519.328094788328,0.519328094788328
66389452,Discount Liquor Centre,1330.0096752438737,1.3300096752438737
66389529,JK Liquor,623.3802296557279,0.6233802296557279
66389649,JK Liquor,2451.603680614124,2.451603680614124
66389650,Liquorland,1481.8408259279433,1.4818408259279434
66389651,Discount Liquor Centre,540.7851684836013,0.5407851684836013
66389661,Liquorland,1467.1413364205955,1.4671413364205954
66389664,The Bottle-O,2440.817812644314,2.440817812644314
66389682,Glengarry Wines,4771.068098077789,4.771068098077789
66389685,Glengarry Wines,1901.0390159665342,1.9010390159665342
66389689,nan,993.628590752899,0.993628590752899
66389709,Regional Wines and Spirits,356.20219272038355,0.35620219272038356
66389724,Discount Liquor Centre,3016.7047046797097,3.0167047046797095
66389738,Discount Liquor Centre,1256.973780647391,1.256973780647391
66389759,Glengarry Wines,4121.07307344633,4.121073073446331
66389765,Cuba Liquor World,321.94352039893414,0.32194352039893415
66389799,nan,476.4369961969072,0.4764369961969072
66389807,Liquorland,2315.3174636354224,2.3153174636354223
66389827,Thirsty Liquor,2309.866461389868,2.309866461389868
66389840,The Cellar Room,405.056453188468,0.405056453188468
66389847,nan,149.90579410520726,0.14990579410520727
66389863,The Bottle-O,1983.6524757526468,1.9836524757526468
66389900,The Cellar Room,1093.740222475517,1.0937402224755168
66389914,Regional Wines and Spirits,560.9580283724139,0.5609580283724139
66389920,The Bottle-O,830.2922817427132,0.8302922817427132
66389925,JK Liquor,1771.254246363696,1.771254246363696
66389952,JK Liquor,3487.407547212977,3.4874075472129773
66389977,Discount Liquor Centre,216.38141550393374,0.21638141550393375
66389988,Discount Liquor Centre,3196.7192055167943,3.196719205516794
66390038,Liquorland,1501.193791594787,1.501193791594787
66390080,Super Liquor,286.73947414902756,0.28673947414902756
66390096,Garage Project,170.87385729288573,0.17087385729288573
66390118,JK Liquor,1339.5254944052467,1.3395254944052468
66390122,JK Liquor,4768.943855712773,4.768943855712774
66390139,Discount Liquor Centre,320.3078066777604,0.32030780667776043
66390183,Cuba Liquor World,231.0499568991753,0.2310499568991753
66390208,Liquorland,1987.207334350962,1.987207334350962
